t_s,fps,frame_ms_ema,fixed_ticks,meshed,dirty,visible_unready,rss_mb,cam_x,cam_y,cam_z,focus_x,focus_y,focus_z
171.53,60.08,16.65,3430,1016,0,736,549.9,109.6,71.3,1.3,111.9,69.0,8.0
172.53,60.48,16.54,3450,1016,0,742,549.9,91.4,67.2,-2.2,97.9,63.0,8.0
173.55,60.08,16.64,3471,1016,0,727,549.9,70.4,69.2,-1.3,81.4,63.8,8.0
174.58,240.66,4.16,3491,1016,0,704,549.9,49.5,70.7,1.5,64.7,64.1,8.0
175.58,239.81,4.17,3511,1016,0,660,549.9,31.9,67.6,5.3,50.3,59.8,8.0
176.58,240.50,4.16,3531,1016,0,621,549.9,19.9,60.4,8.9,39.8,51.6,8.0
177.59,240.97,4.15,3551,1016,0,613,550.2,15.1,49.9,10.5,35.5,40.7,8.0
178.59,240.60,4.16,3571,1016,0,613,550.2,15.3,59.9,11.4,35.4,50.6,8.0
179.59,239.97,4.17,3591,1016,0,613,550.2,16.1,69.3,13.8,35.0,59.6,8.0
180.59,239.70,4.17,3611,1016,0,613,550.2,17.8,75.4,16.9,34.4,65.3,8.0
181.59,242.67,4.12,3631,1016,0,613,550.2,20.2,77.1,19.6,33.8,66.6,8.0
182.59,239.20,4.18,3651,1016,0,609,550.3,23.1,74.2,21.5,33.1,63.3,8.0
183.59,238.83,4.19,3671,1016,0,609,550.3,25.7,67.0,22.3,32.6,55.9,8.0
184.59,232.95,4.29,3691,1016,0,605,550.3,27.6,56.8,22.5,32.2,45.5,8.0
185.60,240.19,4.16,3711,1016,0,601,550.3,31.5,35.3,10.1,32.0,33.7,8.0
186.60,240.22,4.16,3732,1016,0,601,550.3,28.2,60.5,23.4,31.5,48.3,8.0
187.61,240.08,4.17,3752,1016,0,651,550.3,28.4,78.2,39.0,30.2,63.5,20.9
188.61,241.36,4.14,3772,1016,0,710,550.3,29.6,94.0,62.7,28.3,75.3,40.9
189.58,84.80,11.79,3791,1016,0,794,550.3,32.2,105.5,88.6,26.1,81.8,63.8
190.58,60.44,16.55,3811,1016,0,827,550.3,35.9,111.4,113.8,23.9,82.4,87.3
191.58,60.08,16.64,3831,1016,0,833,550.3,39.6,110.9,134.0,22.0,76.9,107.4
192.60,60.31,16.58,3852,1016,0,837,550.4,42.5,103.8,148.0,20.6,66.0,122.2
193.60,60.24,16.60,3871,1016,0,835,550.4,43.6,91.0,153.3,20.0,51.6,128.0
194.62,60.32,16.58,3892,1016,0,837,550.4,44.9,106.5,148.8,20.0,66.3,124.7
195.62,59.90,16.69,3912,1016,0,842,550.4,48.0,122.3,136.4,20.0,80.1,115.7
196.63,84.92,11.78,3932,1016,0,833,550.4,51.5,135.3,117.7,20.0,90.1,102.8
197.65,60.21,16.61,3952,1016,0,819,550.4,54.0,143.2,95.4,20.0,94.5,87.8
198.66,60.07,16.65,3973,1016,0,798,550.4,54.5,144.9,72.7,20.0,92.6,72.9
199.68,60.18,16.62,3993,1016,0,761,550.4,53.4,140.2,53.3,20.0,84.7,60.0
200.70,59.98,16.67,4013,1016,0,729,550.4,51.8,129.9,40.0,20.0,72.2,51.1
201.72,56.45,17.72,4034,1016,0,716,550.4,51.2,117.9,35.6,20.0,59.4,48.0
202.71,60.33,16.58,4054,1016,0,741,550.5,55.6,139.8,36.3,25.3,79.5,52.0
203.71,60.02,16.66,4074,1016,0,833,550.5,64.7,162.7,38.3,38.1,97.6,61.4
204.73,60.05,16.65,4094,1016,0,919,550.5,74.3,183.2,42.9,56.0,111.2,74.6
205.73,90.71,11.02,4114,1016,0,988,550.5,81.8,197.6,52.0,75.9,117.8,89.4
206.75,60.28,16.59,4134,1016,0,1019,550.5,87.7,204.5,66.4,95.9,116.7,104.2
207.76,60.21,16.61,4155,1016,0,1032,550.4,93.2,202.8,83.1,113.0,107.9,116.9
208.78,60.07,16.65,4175,1016,0,1032,550.4,97.9,192.7,96.5,124.6,92.9,125.4
209.78,80.05,12.49,4195,1016,0,1032,550.4,99.4,180.0,100.7,127.9,78.7,127.9
210.78,60.36,16.57,4215,1016,0,1032,550.4,92.2,184.4,94.6,124.1,87.9,121.3
211.80,59.82,16.72,4235,1016,0,1028,550.4,76.7,177.6,82.5,115.4,92.7,105.9
212.81,60.21,16.61,4256,1016,0,1007,550.5,59.4,161.6,69.8,103.8,92.2,85.7
213.83,75.95,13.17,4276,1016,0,958,550.5,44.9,139.3,57.4,90.7,86.5,62.8
214.83,59.96,16.68,4296,1016,0,855,550.5,36.3,114.5,45.0,78.2,76.5,40.9
215.83,60.15,16.63,4316,1016,0,767,550.5,32.6,90.3,32.4,67.5,63.5,22.3
216.85,60.04,16.65,4336,1016,0,689,550.5,31.4,69.0,22.1,60.3,48.9,9.7
217.86,72.28,13.84,4357,1016,0,674,550.5,31.4,60.4,20.8,58.4,42.1,8.0
218.88,60.06,16.65,4377,1016,0,669,550.5,29.1,74.1,23.6,55.9,54.9,8.0
219.88,60.06,16.65,4397,1016,0,660,550.5,25.4,85.6,29.7,50.8,64.5,8.0
220.90,60.07,16.65,4417,1016,0,641,550.5,22.5,93.5,38.5,44.0,69.6,8.7
221.90,93.89,10.65,4437,1016,0,621,550.5,22.2,96.3,47.4,36.6,69.4,9.8
222.91,60.03,16.66,4458,1016,0,619,550.5,24.5,93.8,54.3,29.2,63.8,10.9
223.93,60.10,16.64,4478,1016,0,588,550.5,28.0,86.3,58.1,23.2,53.7,11.8
224.95,60.06,16.65,4498,1016,0,584,550.5,30.7,75.0,59.4,19.3,40.5,12.4
225.95,67.77,14.76,4518,1016,0,588,550.5,32.2,67.4,54.8,19.5,36.3,13.2
226.96,76.78,13.03,4539,1016,0,672,550.5,68.8,94.7,61.1,35.4,57.7,23.7
227.96,60.10,16.64,4559,1016,0,856,550.5,118.2,122.8,44.6,65.7,81.5,43.7
228.96,60.01,16.66,4579,1016,0,985,550.5,132.3,151.3,21.6,104.9,104.1,69.7
229.98,66.92,14.94,4599,1016,0,1017,550.5,112.5,176.6,53.1,148.6,122.5,98.5
